,name,mass,radius,orbper
0,11 UMi b,11.0873,,516.22
1,14 And b,4.684,,185.84
2,14 Her b,5.215,,1763.3
3,14 Her c,6.9,,52596.0
4,16 Cyg B b,1.64,,799.5
5,17 Sco b,4.32,,578.38
6,18 Del b,10.3,,993.3
7,24 Boo b,0.91,,30.3506
8,24 Sex b,1.84,,452.8
9,24 Sex c,1.52,,883.0
10,2M 0441+23 b,7.5,,
11,2M 1252+2735 b,6.88,,35.08
12,2M 1253+2734 b,8.3,,24.31
13,2M 1258+2630 b,3.4,,11.88
14,2M 2236+4751 b,12.5,,
15,2M0437 b,4.0,,
16,2M1207 b,5.0,,
17,2MASS J0030-1450,10.0,1.36,
18,2MASS J0249-0557 (AB) c,11.6,,
19,2MASS J0459-2853,8.0,1.32,
20,2MASS J0642+4101,12.0,1.23,
21,2MASS J0718-6415,3.0,1.29,
22,2MASS J1119-1137 b,3.7,,32850.0
23,2MASS J1155-7919 b,10.0,,
24,2MASS J2117-2940,7.0,1.38,
25,2MASS J2206+3301,8.0,1.3,
26,2MASSW J2208136+292121,10.0,,
27,38 Vir b,4.51,,825.9
28,4 Uma b,7.1,,269.3
29,44 Uma b,12.11,,785.74
30,47 Uma b,2.53,,1078.0
31,47 Uma c,0.54,,2391.0
32,47 Uma d,1.64,,14002.0
33,51 Eri b,2.6,1.11,10260.0
34,51 Peg b,0.46,1.9,4.2308
35,55 Cnc b,0.84,,14.65314
36,55 Cnc c,0.1784,,44.373
37,55 Cnc d,3.84,,5574.2
38,55 Cnc e,0.02703,0.1737,0.7365478
39,55 Cnc f,0.1479,,260.91
40,6 Lyn b,2.01,,934.3
41,61 Vir b,0.016,,4.215
42,61 Vir c,0.0573,,38.021
43,61 Vir d,0.072,,123.01
44,7 CMA c,0.906,,988.9
45,7 CMa b,1.895,,736.9
46,70 Vir b,6.6,,116.67
47,75 Cet b,3.0,,691.9
48,8 Umi b,1.5,,93.4
49,81 Cet b,5.3,,952.7
50,91 Aqr b,3.2,,181.4
51,AB Aur b,9.0,,
52,AU Mic b,0.0368,0.3908,8.463
53,AU Mic c,0.0698,0.3131,18.859019
54,BD+03 2562 b,6.4,,481.9
55,BD+14 4559 b,1.47,,268.94
56,BD+15 2375 b,1.06,,153.22
57,BD+15 2940 b,1.11,,137.48
58,BD+20 2457 c,12.47,,621.99
59,BD+20 274 b,4.2,,578.2
60,BD+20 594 b,0.0513,0.23,41.6855
61,BD+45 564 b,1.36,,307.88
62,BD+48 738 b,0.91,,392.6
63,BD+48 740 b,1.7,,733.0
64,BD+49 828 b,1.6,,2590.0
65,BD+55 362 b,0.72,,265.59
66,BD+63 1405 b,3.96,,1198.48
67,BD-06 1339 c,0.17,,125.94
68,BD-06 1339 d,0.0582,,487.0
69,BD-08 2823 b,0.045,,5.6
70,BD-08 2823 c,0.33,,237.6
71,BD-10 3166 b,0.46,1.03,3.4878
72,BD-11 4672 b,0.65,,1634.0
