,name,mass,radius,orbper
0,14 And b,3.2,,
1,14 Her b,8.13881,,1765.03890112
2,16 Cyg B b,1.752,,799.45
3,17 Sco b,4.32,,578.38
4,18 Del b,9.84,,
5,1RXS J160929.1-210524 b,12.0,,
6,24 Boo b,0.91,,30.3506
7,24 Sex b,1.99,,452.8
8,24 Sex c,0.86,,883.0
9,2M0437 b,4.0,,
10,2MASS J04414489+2301513 b,7.5,,
11,2MASS J12073346-3932539 b,4.0,,
12,2MASS J19383260+4603591 b,1.86,,406.0
13,2MASS J22362452+4751425 b,12.5,,
14,4 UMa b,7.1,,269.3
15,42 Dra b,3.88,,479.1
16,47 UMa b,2.438,,1076.6
17,47 UMa c,0.497,,2287.0
18,47 UMa d,1.51,,19000.0
19,51 Peg b,0.464,,4.2307969
20,55 Cnc b,0.841,,14.65171
21,55 Cnc c,0.171,,44.3827
22,55 Cnc d,2.86,,4820.0
23,55 Cnc e,0.0295,,0.7365445
24,55 Cnc f,0.1475,,260.98
25,6 Lyn b,2.01,,934.3
26,61 Vir b,0.0161,,4.21487
27,61 Vir c,0.0507,,38.0957
28,61 Vir d,0.072,,123.01
29,7 CMa b,1.85,,735.1
30,7 CMa c,0.87,,996.0
31,70 Vir b,7.23,,116.69335
32,75 Cet b,3.0,,691.9
33,8 UMi b,1.31,,93.4
34,81 Cet b,4.01,,
35,91 Aqr b,3.2,,181.4
36,AB Aur b,9.0,,
37,AU Mic b,0.03681,,8.463
38,AU Mic c,0.06985,,18.859019
39,BD+03 2562 b,6.4,,481.9
40,BD+14 4559 b,1.04,,268.94
41,BD+15 2375 b,1.061,,153.22
42,BD+15 2940 b,1.11,,137.48
43,BD+20 2457 c,12.47,,621.99
44,BD+20 274 b,4.2,,578.2
45,BD+45 564 b,1.36,,307.88
46,BD+48 738 b,0.91,,392.6
47,BD+48 740 b,1.7,,733.0
48,BD+49 828 b,1.6,,2590.0
49,BD+55 362 b,0.72,,265.59
50,BD+63 1405 b,3.96,,1198.48
51,BD-06 1339 b,0.027,,3.8728
52,BD-06 1339 c,0.17,,125.94
53,BD-08 2823 b,0.04,,5.6
54,BD-08 2823 c,0.33,,237.6
55,BD-10 3166 b,0.449,,3.487905
56,BD-11 4672 b,0.65,,1634.0
57,BD-11 4672 c,0.04836,,74.2
58,BD-13 2130 b,9.78,,714.29999
59,BD-17 63 b,2.85,,655.59998
60,CD Cet b,0.01243,,2.2907
61,CFBDSIR J145829+101343 b,10.5,,10037.5
62,CFHTWIR-Oph 98 b,7.8,1.86,8040000.0
63,CHXR 73 b,12.569,,
64,CI Tau b,11.6,,8.9891
65,COCONUTS-2 b,6.3,1.11,402000000.0
66,CoRoT-1 b,1.23,1.715,1.5089682
