,name,mass,radius,orbper
0,11 UMi b,11.20,,516.22
1,14 And b,4.8,,185.84
2,14 Her b,4.975,,1766
3,14 Her c,7.679,,9886
4,16 Cygni B b,1.77,,799.5
5,18 Del b,10.3,,993.3
6,24 Boo b,0.91000,,30.35060000
7,24 Sex b,1.99,,452.8
8,24 Sex c,0.86,,883.0
9,2M0437 b,4.0,,
10,2M 044144 b,9.8,,
11,2M1207 b,5,,
12,2M 1252+2735 b,6.88,,35.08
13,2M 1253+2734 b,8.3,,24.31
14,2M 1258+2630 b,3.4,,11.88
15,2M 1938+4603 b,1.9,,416
16,2MASS J0030-1450,10.0,1.36,
17,2MASS J02495639-0557352 c,11.6,,
18,2MASS J0459-2853,8.0,1.32,
19,2MASS J06023447-0034369 b,1.1,1.3,3.0525
20,2MASS J0642+4101,12.0,1.23,
21,2MASS J0718-6415,3.0,1.29,
22,2MASS J1119-1137 b,3.7,,32850.0
23,2MASS J2117-2940,7.0,1.38,
24,2MASS J2206+3301,8.0,1.3,
25,2MASS J22362452+4751425 b,12.50000,,
26,30 Ari B b,6.6,,345.4
27,38 Vir b,4.51,,825.9
28,42 Dra b,3.88,,479.1
29,47 UMa b,2.53,,1078
30,47 UMa c,0.540,,2391
31,47 UMa d,1.64,,14002
32,4 UMa b,7.1,,269.3
33,51 Eri b,2,1,15000
34,51 Peg b,0.46,,4.231
35,55 Cancri b,0.8036,,14.6516
36,55 Cancri c,0.1611,,44.3989
37,55 Cancri d,3.12,,5574.2
38,55 Cancri e,0.0251,0.16728,0.7365474
39,55 Cancri f,0.1503,,259.88
40,61 Vir b,0.016,,4.2150
41,61 Vir c,0.0573,,38.021
42,61 Vir d,0.0721,,123.01
43,6 Lyn b,2.21,,874.774
44,70 Vir b,7.4,,116.6926
45,75 Cet b,3.0,,691.9
46,7 CMa b,1.85000,,735.10000000
47,7 CMa c,0.87000,,996.00000000
48,81 Cet b,5.3,,952.7
49,83 Leonis B b,0.079,,17.054
50,83 Leonis B c,0.36,,4970
51,8 Ursae Minoris b,1.5,,93.4
52,91 Aquarii A b,3.2,,181.4
53,AB Aur b,9.0,,
54,AB Pic b,12,1.55,
55,alf Ari b,1.8,,380.8
56,alf Tau b,6.47,,628.96
57,Proxima Centauri b,0.003691,,11.18427
58,Proxima Centauri c,0.022024,,1929
59,Proxima Centauri d,0.000818,,5.122
60,Alpha Centauri B b,0.00356,,3.2357
61,AU Mic b,0.18000,0.375,8.46321000
62,BD+03 2562 b,6.4,,481.9
63,BD-08 2823 b,0.045,,5.60
64,BD-08 2823 c,0.33,,237.6
65,BD-10 3166 b,0.408,,3.48777
66,BD-11 4672 b,0.65000,,1634.00000000
67,BD-11 4672 c,0.04836,,74.20000000
68,BD+14 4559 b,1.47,,268.94
69,BD+15 2375 b,1.061,,153.22
70,BD+15 2940 b,1.11,,137.48
71,BD-17 63 b,5.1,,655.6
72,BD+20 1790 b,6.37,,7.78287
73,BD+20 2457 c,12.47,,621.99
74,BD+20 274 b,4.2,,578.2
75,BD+20 594 b,0.05129,0.1989,41.6855
76,BD+45 564 b,1.36000,1.210,307.88000000
77,BD+48 738 b,0.91,,392.6
78,BD+48 740 b,1.70000,,733.00000000
79,BD+49 828 b,1.6,,2590
80,BD+55 362 b,0.72000,1.250,265.59000000
81,BD+63 1405 b,3.96000,1.160,1198.48000000
82,beta Cancri b,7.8,,605.2
83,beta Pic c,9.00000,,1200.00000000
84,beta Ursae Minoris b,6.1,,522.3
85,CFBDS 1458 b,6.5,,9855
86,CFBDSIR2149,5.5,,
87,CFHTWIR-Oph 98 A b,7.80000,1.860,8040000.00000000
88,CHXR 73 b,12,,
89,CI Tau b,12.31,,8.9891
